Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_3862.cpp,xcu200-fsgd2104-2-e,5.0,217.91223,1816,4,1,3,9,block_4_1,complete_2,block_128_1,complete_1,cyclic_4_1,cyclic_4_1,unroll_4,unroll_2,unroll_4,unroll_4,4.25,0.17707876230150843,False
workload_3867.cpp,xcu200-fsgd2104-2-e,5.0,71.76806,55,4,2,1,1,cyclic_2_1,block_8_2,block_2_2,cyclic_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,2.0,0.93832385943444,False
workload_3868.cpp,xcu200-fsgd2104-2-e,5.0,66.52628,55,2,2,1,1,cyclic_2_1,block_2_2,block_2_2,cyclic_2_1,block_4_1,complete_1,unroll_2,unroll_4,pipeline_1,unroll_2,1.5,0.9906830235208921,False
workload_3869.cpp,xcu200-fsgd2104-2-e,5.0,67.75214,55,4,1,1,1,block_4_1,cyclic_4_1,cyclic_4_1,complete_1,block_8_1,complete_1,unroll_2,pipeline,unroll_4,pipeline,1.75,0.9722427630492805,False
workload_3870.cpp,xcu200-fsgd2104-2-e,5.0,69.146285,58,2,1,1,1,cyclic_2_1,block_2_2,block_2_1,complete_1,block_2_1,block_4_1,unroll_2,pipeline,pipeline,pipeline,1.25,0.98430354583143,False
workload_3871.cpp,xcu200-fsgd2104-2-e,5.0,74.390215,64,1,1,1,1,block_2_1,complete_2,block_2_1,block_4_1,cyclic_2_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.0,0.9474048843806705,False
workload_3872.cpp,xcu200-fsgd2104-2-e,5.0,74.7191,67,1,1,1,1,cyclic_16_1,complete_2,block_2_1,block_8_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1.0,0.9447903321646535,False
workload_3873.cpp,xcu200-fsgd2104-2-e,5.0,71.43918,97,5,2,1,2,cyclic_32_1,block_4_2,cyclic_2_1,complete_1,cyclic_4_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline_1,2.5,0.9141397673188559,False
workload_3874.cpp,xcu200-fsgd2104-2-e,5.0,266.24503,97,1,1,1,1,cyclic_16_1,complete_2,cyclic_16_1,complete_1,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_2,1.0,0.10574041866697999,False
workload_3875.cpp,xcu200-fsgd2104-2-e,5.0,69.47335,106,1,2,1,2,block_16_1,cyclic_2_1,block_2_2,complete_1,cyclic_2_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline,1.5,0.973675052358408,False
workload_3876.cpp,xcu200-fsgd2104-2-e,5.0,72.09676,106,1,2,2,3,cyclic_16_1,complete_2,block_2_2,cyclic_2_1,cyclic_4_1,complete_1,unroll_8,unroll_2,pipeline_1,pipeline,2.0,0.9363778015339422,False
workload_3877.cpp,xcu200-fsgd2104-2-e,5.0,83.398485,54,3,1,1,1,cyclic_2_1,block_4_2,block_2_1,complete_1,block_4_1,cyclic_4_1,unroll_2,pipeline,unroll_2,pipeline_1,1.5,0.8739013164211404,False
workload_3878.cpp,xcu200-fsgd2104-2-e,5.0,69.14591,118,2,2,2,2,cyclic_2_1,block_2_2,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_8,unroll_8,pipeline,pipeline,2.0,0.9524774639891228,False
workload_3879.cpp,xcu200-fsgd2104-2-e,5.0,102.65097,132,1,1,1,4,cyclic_16_1,complete_2,block_2_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_4,unroll_16,pipeline_1,1.75,0.7314914993636754,False
workload_3880.cpp,xcu200-fsgd2104-2-e,5.0,74.717645,70,1,1,1,1,cyclic_16_1,complete_2,block_2_1,complete_1,block_4_1,block_4_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.0,0.9448018991310438,False
workload_3881.cpp,xcu200-fsgd2104-2-e,5.0,66.853735,99,1,2,3,3,block_16_1,block_2_2,block_2_2,complete_1,cyclic_2_1,cyclic_2_1,unroll_8,pipeline,pipeline,pipeline_1,2.25,0.944247363118474,False
workload_3882.cpp,xcu200-fsgd2104-2-e,5.0,74.71894,70,1,1,1,1,cyclic_16_1,complete_2,block_2_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline,1.0,0.9447916041333463,False
workload_3883.cpp,xcu200-fsgd2104-2-e,5.0,119.36196,64,3,1,1,1,block_16_1,block_2_2,block_8_2,complete_1,complete_1,cyclic_2_1,unroll_2,pipeline,unroll_4,pipeline,1.5,0.6220550029031622,False
workload_3884.cpp,xcu200-fsgd2104-2-e,5.0,65.215335,60,3,2,1,1,block_2_1,block_4_2,block_4_2,complete_1,cyclic_4_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.75,0.9804040195763475,False
