Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43231,115,11,1,1,13,cyclic_2_1,cyclic_2_1,block_4_1,block_2_1,unroll_2,unroll_8,unroll_64,pipeline,6.5,0.9123267484214539,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43807,76,11,1,1,7,block_2_1,block_2_1,cyclic_64_1,cyclic_8_1,unroll_2,unroll_32,pipeline,pipeline_1,5.0,0.9444372283037564,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,33.36398,242,11,1,1,26,cyclic_32_1,block_32_1,block_2_1,block_4_1,unroll,unroll_4,pipeline_1,unroll_8,9.75,0.8132247448021381,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,39.36047,179,16,1,2,13,block_8_1,cyclic_64_1,cyclic_4_1,cyclic_128_1,unroll_2,unroll_16,pipeline_1,unroll_2,8.0,0.5818593208068924,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,32.37881,699,17,1,10,84,cyclic_2_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,unroll_8,unroll_32,unroll_64,unroll_8,28.0,0.3541370952164701,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,32.38873,304,12,1,4,47,block_2_1,block_2_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_16,unroll_64,unroll_4,16.0,0.717971611014477,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,34.52285,372,11,1,5,51,block_2_1,cyclic_2_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_32,unroll_4,17.0,0.6370752566680039,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,39.18599,67,28,1,1,8,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_2,unroll_4,unroll_2,unroll_4,9.5,0.5777941092008771,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43217,286,13,1,5,46,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_16_1,unroll_8,unroll_4,unroll_32,pipeline_1,16.25,0.7093783438093633,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,32.66271,160,32,1,1,21,cyclic_64_1,cyclic_64_1,block_32_1,cyclic_4_1,unroll_2,unroll_16,unroll_16,unroll_4,13.75,0.7581449413323158,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,32.62175,333,21,1,33,33,cyclic_64_1,cyclic_8_1,cyclic_2_1,block_16_1,unroll_2,unroll_16,unroll_4,unroll_64,22.0,0.5182618178872134,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70479,100,22,1,1,7,cyclic_64_1,cyclic_64_1,block_4_1,block_2_1,unroll_2,unroll_32,pipeline_1,unroll_8,7.75,0.8766534125665583,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,38.52815,165,31,1,14,25,cyclic_64_1,cyclic_4_1,cyclic_16_1,block_32_1,unroll_2,unroll_8,unroll_2,unroll_16,17.75,0.5031474352175159,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,34.01918,720,13,1,11,80,block_16_1,block_32_1,block_4_1,block_4_1,unroll,unroll_4,unroll_16,unroll_4,26.25,0.39042654635767626,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,32.53779,74,12,1,1,9,cyclic_4_1,block_32_1,block_4_1,block_2_1,unroll_4,unroll_4,unroll_4,pipeline,5.75,0.9234616924424385,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,32.64205,115,14,1,1,17,block_8_1,cyclic_16_1,cyclic_8_1,block_8_1,unroll_8,unroll_2,unroll_4,pipeline,8.25,0.8687727268174755,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10.0,56.66457,849,17,1,11,88,block_2_1,cyclic_8_1,cyclic_32_1,cyclic_16_1,unroll_8,unroll_16,unroll_64,unroll_2,29.25,0.10022729772909492,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,57.99711,192,28,1,1,28,cyclic_64_1,cyclic_8_1,block_32_1,cyclic_16_1,unroll_2,unroll_16,unroll_16,unroll_2,14.5,0.10836715108428613,False
workload_159.cpp,xczu7ev-ffvc1156-2-e,10.0,31.96592,1446,28,1,6,94,cyclic_32_1,block_32_1,block_32_1,cyclic_8_1,unroll_8,unroll,unroll_16,unroll_8,32.25,0.26217175579340846,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,37.86125,82,12,1,1,10,cyclic_2_1,cyclic_16_1,block_4_1,cyclic_8_1,unroll_8,unroll_2,unroll_2,pipeline,6.0,0.667890402087653,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43747,70,10,1,1,10,block_2_1,block_4_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_2,pipeline,pipeline_1,5.5,0.9334613962681443,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,33.36398,238,11,1,1,26,cyclic_32_1,block_16_1,block_2_1,block_4_1,unroll,unroll_4,pipeline_1,unroll_8,9.75,0.8132247448021381,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,31.76896,283,18,1,1,37,block_2_1,block_32_1,cyclic_2_1,cyclic_16_1,unroll_8,unroll,unroll_16,pipeline_1,14.25,0.7728646997027452,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43747,61,11,1,1,5,block_2_1,block_2_1,cyclic_64_1,cyclic_8_1,unroll_2,unroll_2,pipeline,pipeline_1,4.5,0.9525192248220463,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43203,94,11,1,2,12,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_32,unroll_8,6.5,0.9123373213814066,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,32.37883,290,17,1,5,45,cyclic_2_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,unroll_4,unroll_32,unroll_64,unroll_8,17.0,0.6854368383605539,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,32.53787,71,11,1,1,6,cyclic_2_1,cyclic_2_1,block_4_1,block_2_1,unroll_4,unroll_8,pipeline_1,unroll_16,4.75,0.943716358298163,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,33.49313,568,23,1,2,35,cyclic_4_1,block_32_1,block_32_1,cyclic_8_1,unroll_8,unroll_4,unroll_4,unroll_16,15.25,0.7053483439404283,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,33.86069,390,20,1,2,16,cyclic_64_1,block_32_1,cyclic_16_1,cyclic_128_1,unroll_2,unroll,pipeline_1,unroll_8,9.75,0.7948901819546259,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,31.9968,683,21,1,5,60,block_16_1,block_32_1,block_2_1,block_16_1,unroll_8,unroll,unroll_16,pipeline,21.75,0.5283343195205564,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,32.46798,263,12,1,4,39,cyclic_4_1,block_32_1,block_4_1,block_2_1,unroll,unroll_4,unroll_8,pipeline,14.0,0.7588723413415096,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70089,127,22,1,2,13,cyclic_64_1,cyclic_64_1,block_4_1,block_2_1,unroll_8,unroll_32,pipeline_1,unroll_8,9.5,0.8411586906981285,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43759,70,20,1,1,7,block_2_1,block_2_1,cyclic_64_1,block_32_1,unroll_2,unroll_8,pipeline,pipeline_1,7.25,0.8965321938556494,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,35.20263,101,37,1,1,18,block_2_1,block_128_1,block_32_1,cyclic_4_1,unroll_2,unroll_4,unroll_4,unroll_4,14.25,0.6687217545334129,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,32.42967,178,11,1,2,24,block_4_1,cyclic_4_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_64,pipeline,9.5,0.8500060935421753,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,32.42751,158,16,1,2,13,block_2_1,cyclic_64_1,cyclic_4_1,cyclic_128_1,unroll_2,unroll_16,pipeline_1,pipeline_1,8.0,0.8813268077681876,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,32.60621,1687,14,1,4,65,block_8_1,cyclic_16_1,cyclic_8_1,block_8_1,unroll_8,unroll_2,unroll_32,pipeline,21.0,0.5495790550001454,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,32.3623,1257,15,1,3,57,block_2_1,cyclic_16_1,cyclic_16_1,cyclic_128_1,unroll,unroll_32,pipeline_1,unroll_64,19.0,0.6168497178175721,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,35.18979,112,11,1,2,15,cyclic_2_1,block_4_1,block_2_1,block_2_1,unroll_4,unroll_4,unroll_16,unroll_4,7.25,0.7773242525990931,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10.0,39.18205,90,11,1,1,11,block_2_1,cyclic_2_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_4,6.0,0.6084743245022645,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,32.60134,197,36,1,1,28,cyclic_64_1,block_128_1,cyclic_16_1,block_2_1,unroll,unroll_8,pipeline_1,pipeline,16.5,0.6981513782010185,False
workload_183.cpp,xczu7ev-ffvc1156-2-e,10.0,32.86287,189,11,1,4,21,cyclic_2_1,cyclic_2_1,block_4_1,block_2_1,unroll_2,unroll_8,unroll_64,unroll_64,9.25,0.8407235663311932,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10.0,34.87629,203,17,1,1,28,cyclic_2_1,cyclic_16_1,cyclic_32_1,cyclic_16_1,unroll_8,unroll_2,unroll_4,pipeline,11.75,0.7221063937146391,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10.0,32.03778,180,12,1,1,27,cyclic_32_1,block_32_1,block_4_1,block_2_1,unroll_4,unroll,unroll_16,pipeline,10.25,0.8464679746372822,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,32.60159,98,10,1,1,12,block_32_1,block_2_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_16,pipeline,pipeline_1,6.0,0.9158370522143253,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10.0,32.59585,330,11,1,6,45,block_8_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_4,unroll_32,unroll_2,15.75,0.7199353793129553,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10.0,32.53657,88,12,1,2,11,block_4_1,block_32_1,block_4_1,block_2_1,unroll_8,unroll_8,pipeline_1,unroll_4,6.5,0.9083313589832306,False
workload_189.cpp,xczu7ev-ffvc1156-2-e,10.0,32.39625,152,15,1,2,24,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll_8,unroll_8,unroll_8,10.5,0.8305982241258147,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10.0,32.54669,100,21,1,1,13,cyclic_2_1,cyclic_2_1,block_32_1,cyclic_8_1,unroll_8,unroll_2,unroll_4,pipeline,9.0,0.8567146276370579,False
workload_191.cpp,xczu7ev-ffvc1156-2-e,10.0,32.38905,301,12,1,4,48,block_2_1,block_2_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_32,unroll_64,unroll_4,16.25,0.7102320434257332,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,32.44241,277,12,1,6,45,block_2_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,unroll_8,unroll_4,unroll_32,pipeline_1,16.0,0.7167774839695631,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10.0,34.52285,602,11,1,7,63,block_2_1,block_16_1,block_2_1,block_2_1,unroll_8,unroll_2,unroll_32,unroll_4,20.5,0.5418930698959477,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43231,164,11,1,3,23,cyclic_2_1,cyclic_16_1,block_2_1,block_2_1,unroll_2,unroll_8,unroll_64,pipeline,9.5,0.849921870921687,False
workload_196.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43807,83,20,1,1,8,block_2_1,block_2_1,cyclic_64_1,block_32_1,unroll_2,unroll_32,pipeline,pipeline_1,7.5,0.8913341158854992,False
workload_198.cpp,xczu7ev-ffvc1156-2-e,10.0,32.54039,58,12,1,1,4,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_4_1,unroll_2,unroll_4,unroll_4,pipeline,4.5,0.947090813485221,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10.0,32.39631,63,15,1,1,6,cyclic_4_1,block_2_1,cyclic_8_1,cyclic_16_1,unroll_2,unroll_8,unroll_8,unroll_8,5.75,0.9293302799839986,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43747,66,10,1,1,10,block_2_1,block_4_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,pipeline_1,5.5,0.9334613962681443,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,32.88351,70,16,1,1,9,cyclic_2_1,cyclic_16_1,block_16_1,block_2_1,unroll_2,unroll_8,pipeline_1,unroll_8,6.75,0.8894330872401477,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,32.09922,85,11,1,1,11,cyclic_32_1,block_32_1,block_2_1,block_2_1,unroll_4,unroll,unroll_4,pipeline,6.0,0.9352355407965389,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,37.85227,102,12,1,3,14,cyclic_4_1,cyclic_2_1,block_4_1,block_2_1,unroll_4,unroll_8,unroll_4,unroll_16,7.5,0.651391177631681,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10.0,32.26355,61,26,1,1,6,block_2_1,block_128_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline,pipeline_1,8.5,0.876318926440072,False
